Date,Max_Demand_GW,Plant_Production_GWh,Imports_GWh,Renewables_Production_GWh,powerplants_c02_kt,GDP_bln,Population_k,tmin,tavg,tmax,Month
2008-01-01,0.36,191.5,0.0,0.0,170.39,6.21,409.379,12.1,14.5,-1.1430065357318733,1
2008-02-01,0.37,183.6,0.0,0.0,163.36,6.214166666666666,409.379,10.5,13.3,-1.2838315878765008,2
2008-03-01,0.34,178.96,0.0,0.0,159.23,6.218333333333334,409.6371666666667,12.1,14.9,-1.0021814835872451,3
2008-04-01,0.32,172.61,0.0,0.0,153.58,6.2225,409.8953333333333,13.9,17.4,-0.43888127500873336,4
2008-05-01,0.32,179.5,0.0,0.0,159.71,6.226666666666667,410.1535,16.8,20.2,0.054006407497464666,5
2008-06-01,0.39,162.64,0.0,0.0,144.71,6.230833333333333,410.4116666666667,19.8,23.9,0.7933379312567614,6
2008-07-01,0.41,242.99,0.0,0.0,216.2,6.234999999999999,410.6698333333333,22.7,26.7,1.2862256137629595,7
2008-08-01,0.41,236.16,0.0,0.0,210.13,6.239166666666667,410.928,22.7,26.9,1.3566381398352738,8
2008-09-01,0.42,213.41,0.0,0.0,189.88,6.243333333333333,411.1861666666667,21.0,24.6,0.846147325810997,9
2008-10-01,0.33,183.66,0.0,0.0,163.41,6.2475,411.4443333333333,18.0,21.1,0.14202206508785714,10
2008-11-01,0.32,164.02,0.0,0.0,145.94,6.251666666666667,411.7025,15.2,17.9,-0.49169066956296836,11
2008-12-01,0.31,166.83,0.0,0.0,148.44,6.255833333333333,411.96066666666667,12.3,14.6,-1.1606096672499513,12
2009-01-01,0.33,175.67,0.0,0.0,154.22,6.26,412.2188333333333,10.8,13.2,-1.389450376984972,1
2009-02-01,0.35,163.52,0.0,0.0,143.56,6.306666666666667,412.477,8.5,11.3,-1.635894218238071,2
2009-03-01,0.33,169.59,0.0,0.0,148.88,6.3533333333333335,412.64625,10.4,13.4,-1.2486253248403438,3
2009-04-01,0.28,156.63,0.0,0.0,137.51,6.4,412.8155,12.2,15.3,-0.8613564314426171,4
2009-05-01,0.32,168.35,0.0,0.0,147.8,6.446666666666666,412.98475,15.7,20.6,0.3708627748228777,5
2009-06-01,0.35,183.33,0.0,0.0,160.95,6.493333333333333,413.154,18.9,23.7,0.8989567203652327,6
2009-07-01,0.39,222.04,0.0,0.0,194.93,6.54,413.32325,21.6,27.0,1.5854788495702938,7
2009-08-01,0.4,231.63,0.0,0.0,203.35,6.586666666666667,413.4925,23.0,27.3,1.4446537974256664,8
2009-09-01,0.39,198.17,0.0,0.0,173.98,6.633333333333334,413.66175,21.0,24.6,0.8285441942929189,9
2009-10-01,0.33,175.88,0.0,0.0,154.41,6.68,413.831,17.0,20.2,0.0011970129432290497,10
2009-11-01,0.3,158.08,0.0,0.0,138.78,6.726666666666667,414.00025,13.7,16.9,-0.5797063271533609,11
2009-12-01,0.32,164.76,0.0,0.0,144.64,6.773333333333333,414.1695,13.2,15.6,-0.9493720890330095,12
2010-01-01,0.32,170.0,0.0,0.0,151.65,6.82,414.33875,11.1,13.4,-1.3366409824307364,1
2010-02-01,0.32,153.98,0.0,0.0,137.36,6.828333333333333,414.508,10.9,13.8,-1.1782127987680302,2
2010-03-01,0.3,162.57,0.0,0.0,145.02,6.836666666666667,414.6546666666666,11.2,14.1,-1.1254034042137946,3
2010-04-01,0.27,152.88,0.0,0.0,136.38,6.845000000000001,414.8013333333333,13.5,17.0,-0.5268969325991258,4
2010-05-01,0.28,161.71,0.0,0.0,144.25,6.8533333333333335,414.948,16.0,19.4,-0.1220249076833203,5
2010-06-01,0.34,174.53,0.0,0.0,155.69,6.861666666666666,415.0946666666666,18.8,22.9,0.6349097475940552,6
2010-07-01,0.4,220.69,0.0,0.0,196.86,6.87,415.2413333333333,22.2,26.7,1.374241271353352,7
2010-08-01,0.4,222.29,0.0,0.0,198.29,6.878333333333334,415.388,22.8,27.2,1.4446537974256664,8
2010-09-01,0.36,190.06,0.0,0.0,169.54,6.886666666666667,415.5346666666666,21.0,24.0,0.6349097475940552,9
2010-10-01,0.33,177.23,0.0,0.0,158.1,6.895,415.6813333333333,17.9,20.6,-0.03400925009292782,10
2010-11-01,0.3,161.05,0.0,0.0,143.66,6.903333333333333,415.828,15.6,18.2,-0.43888127500873336,11
2010-12-01,0.32,166.14,0.0,0.0,148.2,6.911666666666667,415.9746666666666,11.7,14.5,-1.072594009659559,12
2011-01-01,0.33,171.42,0.0,0.0,153.19,6.92,416.1213333333333,9.7,12.9,-1.3014347193945794,1
2011-02-01,0.33,158.51,0.0,0.0,141.66,6.956666666666667,416.268,8.3,11.8,-1.4070535085030504,2
2011-03-01,0.32,170.12,0.0,0.0,152.03,6.993333333333333,416.5813333333333,9.6,13.0,-1.213419061804187,3
2011-04-01,0.28,157.55,0.0,0.0,140.8,7.03,416.8946666666666,12.7,16.4,-0.5973094586714396,4
2011-05-01,0.29,167.76,0.0,0.0,149.92,7.066666666666666,417.208,15.0,18.9,-0.08681864464716343,5
2011-06-01,0.35,181.08,0.0,0.0,161.83,7.1033333333333335,417.5213333333333,18.9,23.4,0.7757347997386833,6
2011-07-01,0.41,222.63,0.0,0.0,198.96,7.140000000000001,417.8346666666666,21.9,26.7,1.4270506659075877,7
2011-08-01,0.39,224.6,0.0,0.0,200.72,7.176666666666667,418.148,21.9,26.8,1.4622569289437444,8
2011-09-01,0.4,201.81,0.0,0.0,180.35,7.213333333333334,418.46133333333336,21.1,25.2,1.0397817725098608,9
2011-10-01,0.31,178.42,0.0,0.0,159.45,7.25,418.7746666666667,17.0,20.1,-0.03400925009292782,10
2011-11-01,0.31,165.06,0.0,0.0,147.51,7.286666666666667,419.088,15.0,17.4,-0.6149125901895184,11
2011-12-01,0.33,169.61,0.0,0.0,151.58,7.323333333333333,419.40133333333335,11.6,14.1,-1.1958159302861082,12
2012-01-01,0.34,181.34,0.0,0.0,164.42,7.36,419.7146666666667,9.0,11.6,-1.6182910867199927,1
2012-02-01,0.37,176.49,0.0,0.0,160.03,7.408333333333333,420.028,7.5,10.2,-1.8295286649369344,2
2012-03-01,0.33,170.61,0.0,0.0,154.7,7.456666666666667,420.5229166666667,9.7,13.1,-1.213419061804187,3
2012-04-01,0.29,158.33,0.0,0.0,143.56,7.505000000000001,421.0178333333333,12.6,16.2,-0.6325157217075965,4
2012-05-01,0.29,170.87,0.0,0.0,154.93,7.553333333333334,421.51275,15.8,20.3,0.2476408541963284,5
2012-06-01,0.38,195.45,0.0,0.0,177.22,7.601666666666667,422.0076666666667,20.4,25.6,1.3038287452810382,6
2012-07-01,0.43,238.89,0.0,0.0,216.61,7.65,422.50258333333335,23.4,28.5,1.7967164277872363,7
2012-08-01,0.43,245.0,0.0,0.0,222.15,7.698333333333334,422.9975,24.0,28.6,1.7087007701968437,8
2012-09-01,0.35,199.16,0.0,0.0,180.58,7.746666666666667,423.49241666666666,21.3,25.1,0.9693692464375464,9
2012-10-01,0.36,193.68,0.0,0.0,175.61,7.795,423.9873333333333,19.8,23.0,0.4940846954494271,10
2012-11-01,0.31,167.77,0.0,0.0,152.12,7.843333333333334,424.48225,16.5,19.4,-0.19243743375563405,11
2012-12-01,0.33,171.03,0.0,0.0,155.08,7.8916666666666675,424.9771666666667,11.4,14.2,-1.1430065357318733,12
2013-01-01,0.34,178.06,0.0,0.0,136.19,7.94,425.4720833333333,10.6,13.3,-1.3014347193945794,1
2013-02-01,0.35,162.71,0.0,0.0,124.45,8.0075,425.967,9.4,12.3,-1.4422597715392076,2
2013-03-01,0.32,167.4,0.0,0.0,128.04,8.075000000000001,426.6829166666666,11.8,15.1,-0.8789595629606958,3
2013-04-01,0.29,159.5,0.0,0.0,121.99,8.1425,427.3988333333333,13.7,17.7,-0.3156593543821834,4
2013-05-01,0.29,170.48,0.0,0.0,130.39,8.21,428.11475,16.5,20.5,0.19483145964209278,5
2013-06-01,0.35,181.18,0.0,0.0,138.58,8.2775,428.8306666666667,18.9,23.4,0.7933379312567614,6
2013-07-01,0.41,223.08,0.0,0.0,170.62,8.345,429.5465833333333,21.8,26.6,1.4270506659075877,7
2013-08-01,0.4,234.51,0.0,0.0,179.37,8.4125,430.2625,23.3,27.5,1.4622569289437444,8
2013-09-01,0.38,204.16,0.0,0.0,156.15,8.48,430.97841666666665,21.6,25.2,0.9517661149194683,9
