Date,Max_Demand_GW,Plant_Production_GWh,Imports_GWh,Renewables_Production_GWh,powerplants_c02_kt,GDP_bln,Population_k,tmin,tavg,tmax
2003-01-01,0.36,182.08,0.0,0.0,0.0,4.82,398.582,10.9,13.2,15.6
2003-02-01,0.4,187.1,0.0,0.0,0.0,4.827500000000001,398.582,7.9,10.4,13.0
2003-03-01,0.34,176.37,0.0,0.0,0.0,4.835,398.80583333333334,9.8,12.7,15.7
2003-04-01,0.3,156.53,0.0,0.0,0.0,4.8425,399.0296666666667,12.4,15.5,18.7
2003-05-01,0.28,163.97,0.0,0.0,0.0,4.8500000000000005,399.2535,16.0,20.4,24.8
2003-06-01,0.38,193.97,0.0,0.0,0.0,4.8575,399.4773333333333,21.4,26.1,30.8
2003-07-01,0.4,232.95,0.0,0.0,0.0,4.865,399.70116666666667,23.9,28.8,33.6
2003-08-01,0.4,227.09,0.0,0.0,0.0,4.8725000000000005,399.92499999999995,23.9,28.7,33.4
2003-09-01,0.39,188.77,0.0,0.0,0.0,4.88,400.1488333333333,21.2,24.5,27.7
2003-10-01,0.34,183.06,0.0,0.0,0.0,4.8875,400.37266666666665,19.1,22.1,25.1
2003-11-01,0.3,162.41,0.0,0.0,0.0,4.8950000000000005,400.5965,14.8,18.0,21.2
2003-12-01,0.36,181.24,0.0,0.0,0.0,4.9025,400.82033333333334,11.4,13.9,16.4
2004-01-01,0.37,195.63,0.0,0.0,0.0,4.91,401.0441666666666,9.4,12.2,15.0
2004-02-01,0.36,174.76,0.0,0.0,0.0,4.93,401.268,9.7,13.0,16.3
2004-03-01,0.34,176.64,0.0,0.0,0.0,4.95,401.4818333333333,10.9,13.8,16.6
2004-04-01,0.3,160.59,0.0,0.0,0.0,4.970000000000001,401.6956666666666,12.8,16.1,19.4
2004-05-01,0.29,163.77,0.0,0.0,0.0,4.99,401.9095,14.5,18.2,21.9
2004-06-01,0.36,178.49,0.0,0.0,0.0,5.01,402.12333333333333,18.6,23.1,27.6
2004-07-01,0.39,221.76,0.0,0.0,0.0,5.03,402.33716666666663,21.5,26.3,31.0
2004-08-01,0.39,224.53,0.0,0.0,0.0,5.050000000000001,402.551,22.6,26.7,30.9
2004-09-01,0.37,192.01,0.0,0.0,0.0,5.07,402.76483333333334,19.8,23.4,27.0
2004-10-01,0.33,183.64,0.0,0.0,0.0,5.09,402.97866666666664,18.5,22.2,26.0
2004-11-01,0.32,168.08,0.0,0.0,0.0,5.11,403.1925,14.2,16.8,19.4
2004-12-01,0.36,176.19,0.0,0.0,0.0,5.130000000000001,403.40633333333335,12.8,15.0,17.2
2005-01-01,0.39,198.2,0.0,0.0,0.0,5.15,403.62016666666665,8.1,11.1,14.0
2005-02-01,0.4,188.03,0.0,0.0,0.0,5.170833333333333,403.834,8.0,10.6,13.2
2005-03-01,0.38,181.03,0.0,0.0,0.0,5.191666666666667,403.95683333333335,9.8,13.4,16.9
2005-04-01,0.32,163.43,0.0,0.0,0.0,5.2125,404.07966666666664,11.9,15.5,19.2
2005-05-01,0.31,171.38,0.0,0.0,0.0,5.233333333333333,404.2025,15.4,20.1,24.8
2005-06-01,0.38,188.1,0.0,0.0,0.0,5.254166666666667,404.32533333333333,19.5,23.7,28.0
2005-07-01,0.4,226.79,0.0,0.0,0.0,5.275,404.4481666666667,22.2,26.7,31.2
2005-08-01,0.41,217.97,0.0,0.0,0.0,5.295833333333333,404.571,21.9,25.4,28.8
2005-09-01,0.38,200.29,0.0,0.0,0.0,5.316666666666667,404.6938333333333,21.2,24.3,27.4
2005-10-01,0.32,158.69,0.0,0.0,0.0,5.3375,404.81666666666666,18.5,21.3,24.0
2005-11-01,0.31,166.5,0.0,0.0,0.0,5.358333333333333,404.9395,15.2,17.9,20.7
2005-12-01,0.35,180.08,0.0,0.0,0.0,5.379166666666667,405.0623333333333,11.8,14.1,16.5
2006-01-01,0.38,202.67,0.0,0.0,0.0,5.4,405.18516666666665,9.9,12.4,14.8
2006-02-01,0.38,175.0,0.0,0.0,0.0,5.4325,405.308,9.3,11.9,14.4
2006-03-01,0.34,178.95,0.0,0.0,0.0,5.465,405.426,10.1,13.3,16.4
2006-04-01,0.28,157.39,0.0,0.0,0.0,5.4975000000000005,405.544,12.9,16.6,20.3
2006-05-01,0.33,175.88,0.0,0.0,0.0,5.53,405.662,16.0,20.8,25.5
2006-06-01,0.4,189.97,0.0,0.0,0.0,5.5625,405.78,19.0,24.2,29.4
2006-07-01,0.4,232.49,0.0,0.0,0.0,5.595000000000001,405.89799999999997,22.5,27.0,31.5
2006-08-01,0.4,225.01,0.0,0.0,0.0,5.6275,406.01599999999996,22.8,26.6,30.4
2006-09-01,0.36,195.23,0.0,0.0,0.0,5.66,406.134,20.7,24.1,27.5
2006-10-01,0.35,187.12,0.0,0.0,0.0,5.6925,406.252,18.8,21.8,24.7
2006-11-01,0.31,167.72,0.0,0.0,0.0,5.725,406.37,14.9,17.7,20.4
2006-12-01,0.32,173.78,0.0,0.0,0.0,5.7575,406.488,13.5,16.0,18.6
2007-01-01,0.34,180.48,0.0,0.0,0.0,5.79,406.606,11.5,14.5,17.4
2007-02-01,0.34,163.14,0.0,0.0,0.0,5.825,406.724,10.8,13.8,16.8
2007-03-01,0.34,177.62,0.0,0.0,0.0,5.86,406.94525,11.3,14.3,17.4
2007-04-01,0.31,164.45,0.0,0.0,0.0,5.895,407.1665,13.4,16.7,20.1
2007-05-01,0.32,177.06,0.0,0.0,0.0,5.93,407.38775,16.2,20.5,24.8
2007-06-01,0.42,200.4,0.0,0.0,0.0,5.965,407.609,20.3,24.8,29.4
2007-07-01,0.43,232.26,0.0,0.0,0.0,6.0,407.83025,21.5,26.6,31.7
2007-08-01,0.43,237.34,0.0,0.0,0.0,6.035,408.05150000000003,22.8,27.3,31.9
2007-09-01,0.38,204.72,0.0,0.0,0.0,6.07,408.27275000000003,21.2,25.0,28.8
2007-10-01,0.34,192.9,0.0,0.0,0.0,6.105,408.494,18.6,21.4,24.2
2007-11-01,0.34,175.63,0.0,0.0,0.0,6.14,408.71525,15.1,17.6,20.1
2007-12-01,0.37,190.29,0.0,0.0,0.0,6.175,408.9365,12.2,14.3,16.5
2008-01-01,0.36,191.5,0.0,0.0,170.39,6.21,409.15775,12.1,14.5,16.9
