Month,2018,2019,2020,2021,2022
January,"115,354","183,328","223,839","146,115","173,417"
February,"157,489","143,504","200,266","151,124","162,461"
March,"119,662","145,214","176,105","159,822","187,564"
April,"106,999","148,931","160,275","193,181","131,942"
May,"164,502","168,549","172,373","192,490","179,388"
June,"161,392","192,740","192,345","216,510","214,232"
July,"218,979","201,740","214,804","243,886","249,022"
August,"220,225","220,449","217,389","235,944","237,553"
September,"192,215","174,769","183,706","178,636","201,238"
October,"174,009","170,070","157,662","177,100","164,124"
November,"170,322","141,493","107,413","155,232","199,398"
December,"161,332","169,041","136,899","164,840","193,126"
