Month,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
January,"191,504","175,673","169,996","171,416","181,343","178,061","177,157","186,105","180,575","208,690","105,053","172,879","211,835","131,799","156,828"
February,"183,599","163,516","153,978","158,511","176,492","162,713","156,869","170,282","164,074","168,413","147,372","131,577","183,925","131,439","142,127"
March,"178,957","169,586","162,568","170,118","170,613","167,395","168,762","175,315","169,727","169,369","100,857","128,381","158,087","135,214","164,948"
April,"172,613","156,629","152,877","157,549","158,327","159,500","158,192","157,604","160,056","160,208","87,530","131,083","137,987","169,609","107,197"
May,"179,504","168,350","161,707","167,758","170,874","170,481","165,704","168,322","169,637","170,051","143,001","147,025","146,160","163,700","146,263"
June,"162,638","183,332","174,532","181,076","195,451","181,179","185,462","181,548","188,627","194,359","139,150","169,887","164,168","188,408","179,688"
July,"242,991","222,045","220,690","222,627","238,887","223,081","212,929","236,843","226,039","243,514","196,913","178,342","187,167","214,825","216,605"
August,"236,165","231,631","222,289","224,596","244,999","234,506","218,933","237,526","224,405","260,481","200,565","198,805","191,442","209,854","207,218"
September,"213,413","198,169","190,065","201,814","199,163","204,163","208,316","210,226","205,132","224,687","175,846","156,756","163,488","155,107","175,458"
October,"183,656","175,875","177,227","178,417","193,675","193,737","185,792","190,369","200,588","205,589","160,000","155,010","138,166","159,479","140,278"
November,"164,018","158,076","161,046","165,061","167,772","167,444","163,708","167,954","175,814","178,618","158,588","129,676","93,257","141,643","182,610"
December,"166,834","164,758","166,137","169,610","171,031","173,841","168,401","175,124","182,850","192,808","148,610","158,563","124,580","150,741","177,287"
