Month,2018,2019,2020,2021,2022
January,"201,163","224,757","218,442","211,928","233,510"
February,"190,135","199,537","195,224","186,036","204,972"
March,"193,511","199,279","196,317","198,358","229,304"
April,"183,642","186,043","168,431","179,073","197,046"
May,"195,962","189,430","173,347","187,183","207,655"
June,"211,873","231,398","189,708","230,524","259,352"
July,"258,326","278,548","250,910","287,728","318,845"
August,"266,015","283,842","277,633","308,643","317,191"
September,"240,447","238,350","235,752","255,590","273,011"
October,"207,512","215,510","204,114","209,980","225,886"
November,"189,387","192,023","186,570","198,588","206,396"
December,"195,041","198,795","199,955","218,018","207,776"
